smile,activity
CN(C)C(S1)=NC(C2=CC=C(Br)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,0.464
CN(C)C(S1)=NC(C2=CC=C(C)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,0.471
O=[N+](C1=CC=C(C2=C(N=C(N(CC)CC)S2)C3=CC=C(Br)C=C3)S1)[O-],0.471
CC(C=C1)=CC=C1C(N=C(N(CC)CC)S2)=C2C3=CC=C([N+]([O-])=O)S3,0.477
CC(C=C1)=CC=C1C(N=C(N2CCCCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,0.474
BrC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,0.456
CC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,0.465
O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N4CCOCC4)S2)S1)[O-],0.461
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0.457
CC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0.461
O=[N+](C1=CC=C(C2=C(C3=CC=CS3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],0.465
O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],0.465
O=[N+](C1=CC=C(C2=C(C3=CC4=C(C=CC=C4)O3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],0.464
CCN(CC)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)O3,0.459
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCCCC4)S2)O1)[O-],0.455
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCOCC4)S2)O1)[O-],0.447
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)O1)[O-],0.446
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,0.683
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,0.683
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC=C(C(C)(C)C)C=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC=C(C(C)(C)C)C=C8)=C6C9=CC=C(OC)C=C9,0.684
F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,0.804
F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,0.804
F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=CC(C(C)(C)C)=C3)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC=C(C(C)(C)C)C=C9%10)=C7C%11=C%10C=C(OC)C=C%11,0.79
O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C=C1)N(CC=C)C4=O,0.513
O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C(NC=C)=C1)N(CC=C)C4=O,0.601
C12=CC=CC3=C1C(C(C=C2)=CC=C4C5=CC=NC=C5)=C4C=C3,0.344
C12=CC=CC3=C1C(C(C=C2)=CC(C4=CC=NC=C4)=C5)=C5C=C3,0.338
C12=CC=CC3=C1C(C(C=C2)=CC(C4=NC=CC=C4)=C5)=C5C=C3,0.338
C12=CC=CC3=C1C(C(C(C4=CC=NC=C4)=C2)=CC=C5)=C5C=C3,0.34
